gene,¦Â2AR-APEX2(BI167107),DOR-APEX2,CCDC68,CCDC120,LiMoCentrosome,Endosomal-APEX2,AT1R-APEX2(AngII),AT1R-APEX2(TRV027)
O60353,1,0,0,0,0,0,0,0
O60427,0,0,0,0,0,0,1,1
O60437,0,0,0,1,0,0,0,0
O60462,1,0,0,0,0,0,0,0
O60476,1,0,0,0,0,0,0,0
O60479,0,0,0,1,0,0,0,0
O60488,1,0,0,1,1,0,1,1
O60493,1,1,0,0,1,1,1,1
O60502,1,1,1,0,1,1,0,0
O60503,1,0,0,0,0,0,0,0
O60504,1,0,0,0,0,0,0,0
O60506,1,1,1,1,1,1,1,1
O60507,1,0,0,0,0,0,0,0
O60508,0,0,0,1,1,0,0,0
O60524,1,0,0,1,1,0,0,1
O60547,1,1,1,0,1,1,0,0
O60563,0,1,0,0,0,1,0,0
O60566,1,1,1,0,1,1,0,0
O60568,1,1,0,1,0,1,0,0
O60573,0,1,0,1,0,1,0,0
O60610,1,1,1,0,1,1,1,1
O60613,1,0,0,0,0,0,0,0
O60637,1,0,0,0,0,0,1,0
O60645,0,0,0,1,0,0,0,0
O60664,1,1,1,1,1,1,1,0
O60671,0,0,0,1,0,0,0,0
O60678,1,1,1,1,1,1,1,0
O60684,1,1,1,1,0,1,0,1
O60701,0,0,1,1,0,0,0,0
O60716,1,1,1,1,1,1,1,1
O60725,1,0,0,0,0,0,0,0
O60749,1,1,1,0,1,1,0,0
O60762,0,0,1,1,1,0,0,0
O60763,1,1,1,1,1,1,0,0
O60779,1,0,0,0,0,0,0,0
O60784,1,1,1,1,0,1,0,0
O60814,0,0,1,1,0,0,0,0
O60826,1,0,0,0,0,0,0,0
O60828,0,0,0,1,0,0,0,0
O60830,0,0,0,1,0,0,0,0
O60831,1,0,0,0,1,0,0,0
O60832,0,1,0,1,1,1,1,1
O60841,1,1,0,1,1,1,1,1
O60858,0,1,0,0,0,1,0,0
O60879,0,0,1,0,0,0,0,0
O60884,1,1,1,1,1,1,1,1
O60885,0,0,0,0,0,0,0,1
O60888,0,1,0,0,0,0,0,0
O60911,1,0,0,0,0,0,0,0
O60925,1,0,0,0,0,0,0,0
O60927,1,0,0,0,0,0,0,0
O60934,0,1,0,0,1,1,0,0
O75027,1,0,1,0,1,0,0,0
O75044,1,1,0,1,0,1,0,1
O75051,1,0,0,0,0,0,0,0
O75052,1,0,0,0,0,0,0,0
O75054,1,0,0,0,0,0,0,0
O75061,1,0,0,1,0,0,0,0
O75063,1,0,0,0,0,0,0,0
O75071,1,0,0,0,0,0,0,0
O75077,1,0,0,1,0,0,0,0
O75083,1,1,1,1,1,1,1,1
O75084,1,0,0,0,0,0,0,0
O75110,1,0,0,0,0,0,0,0
O75113,0,1,1,0,0,1,0,0
O75116,1,1,0,0,0,1,1,1
O75121,1,0,0,0,0,0,0,1
O75122,0,1,1,1,0,1,0,0
O75127,0,0,0,1,0,0,0,0
O75128,1,1,0,1,0,1,0,0
O75131,1,1,1,1,1,1,1,1
O75143,1,1,0,0,0,1,0,0
O75146,1,1,1,1,0,1,0,1
O75147,1,0,0,1,0,0,0,1
O75150,0,0,0,0,1,0,0,0
O75152,0,1,0,1,1,1,0,0
O75153,1,1,1,1,1,1,0,0
O75157,1,0,0,0,0,0,0,0
O75165,1,1,0,0,0,1,0,0
O75167,1,0,0,0,0,0,0,1
O75170,1,1,1,0,0,1,0,0
O75175,1,1,0,1,0,1,0,0
O75177,0,0,0,1,0,0,0,0
O75179,1,1,1,1,1,1,0,0
O75182,0,1,0,0,0,1,0,0
O75190,1,0,1,1,1,0,1,0
O75197,1,0,1,0,0,0,0,0
O75223,1,0,1,1,1,0,1,1
O75251,0,0,0,0,1,0,0,0
O75306,0,0,0,1,0,0,0,0
O75312,1,0,1,0,0,0,0,0
O75319,0,0,0,1,0,0,0,0
O75323,0,0,1,0,1,0,0,0
O75330,1,1,0,1,1,1,0,0
O75340,1,1,0,1,1,1,0,0
O75342,0,0,1,0,0,0,0,0
O75347,1,1,0,0,1,1,0,1
O75348,1,1,0,0,0,1,0,0
O75351,1,0,1,0,0,0,0,0
O75352,0,0,0,1,0,0,0,0
O75354,1,0,0,0,0,0,0,0
O75356,1,0,0,0,0,0,0,0
O75367,1,1,0,1,1,1,1,1
O75369,1,1,1,1,1,1,1,1
O75376,0,0,1,1,0,0,0,0
O75381,1,1,0,0,0,1,0,0
O75382,0,0,0,1,0,0,0,0
O75390,1,0,0,1,1,0,0,1
O75396,1,1,1,1,1,1,0,0
O75400,1,1,0,1,0,1,1,1
O75410,1,1,0,0,0,1,0,0
O75419,0,0,1,1,1,0,0,0
O75420,1,0,0,0,0,0,0,0
O75431,0,0,0,1,0,0,0,0
O75436,1,1,1,1,1,1,0,1
O75439,0,0,1,1,1,0,0,1
O75446,0,0,0,1,0,0,0,0
O75449,1,0,0,1,0,0,0,0
O75460,1,0,0,0,0,0,0,0
O75473,1,0,0,0,0,0,0,0
O75475,1,0,0,1,1,0,1,1
O75477,1,1,0,1,0,0,0,0
O75487,1,0,0,0,0,0,0,0
O75489,0,0,1,1,0,0,0,0
O75494,0,0,0,1,1,0,0,1
O75503,1,0,0,0,0,0,0,0
O75525,0,0,0,1,0,0,0,1
O75530,0,1,0,1,0,1,0,0
O75533,1,1,1,1,1,1,1,1
O75534,1,1,1,1,1,1,1,1
O75556,0,0,1,0,0,0,0,0
O75563,1,0,0,0,0,0,0,0
O75569,0,0,0,1,0,0,0,0
O75581,1,0,0,0,0,0,0,1
O75592,0,1,0,0,0,1,0,0
O75608,0,0,0,1,1,0,0,0
O75616,0,0,0,1,1,0,0,0
O75629,1,0,0,0,0,0,0,0
O75643,1,1,1,1,1,1,1,1
O75663,1,0,1,0,1,0,0,0
O75665,0,1,0,0,1,1,0,0
O75674,1,0,0,0,0,0,0,1
O75683,0,0,0,1,0,0,1,1
O75688,1,0,0,0,0,0,0,0
O75691,0,0,0,1,1,0,0,1
O75694,1,1,1,1,1,1,0,0
O75695,1,1,0,1,1,1,0,1
O75718,1,0,1,1,0,0,0,0
O75746,0,0,0,1,1,0,0,0
O75781,1,1,0,0,0,1,0,1
O75787,1,0,0,1,0,0,0,0
O75792,1,0,1,1,0,0,0,0
O75794,1,0,1,1,0,0,0,0
O75817,0,0,0,1,0,0,0,0
O75818,0,0,0,1,0,0,0,0
O75821,1,1,1,1,1,1,1,1
O75822,1,1,1,1,1,1,1,1
O75828,1,0,0,0,0,0,0,0
O75832,1,1,1,1,1,1,0,0
O75844,1,0,0,0,1,0,1,1
O75845,1,0,0,0,0,0,0,0
O75874,0,0,1,1,1,0,0,0
O75880,0,0,0,1,0,0,0,0
O75882,1,1,0,0,0,0,0,0
O75886,1,1,1,1,1,1,1,0
O75896,1,0,0,0,0,0,0,0
O75909,0,0,0,1,0,0,0,0
O75915,0,0,0,0,1,0,0,0
O75934,1,0,0,1,0,0,0,0
O75935,0,0,0,1,0,0,0,0
O75937,0,0,0,1,0,0,0,1
O75940,0,0,0,1,0,0,0,0
O75947,0,0,0,1,1,0,0,0
O75949,1,0,0,0,0,0,0,0
O75954,1,0,0,0,0,0,0,0
O75955,1,1,0,1,1,1,0,1
O75962,1,1,0,1,0,1,0,0
O75964,0,0,0,0,1,0,0,0
O75970,1,1,0,0,1,1,1,1
O75973,1,0,0,0,0,0,0,0
O75976,1,0,1,1,1,0,0,1
O76003,1,1,1,1,1,1,1,1
O76011,0,0,1,0,0,0,0,0
O76013,0,0,1,0,0,0,0,0
O76021,1,1,1,1,1,1,1,1
O76024,1,0,0,0,0,0,0,0
O76031,0,0,1,1,1,0,0,0
O76041,1,0,0,0,0,0,1,1
O76061,1,0,0,0,0,0,0,0
O76071,1,1,0,0,0,1,0,0
O76074,0,1,0,0,0,1,0,0
O76094,0,0,0,1,1,0,1,1
O94762,0,0,0,1,0,0,0,0
O94763,1,0,0,1,0,0,0,0
O94776,0,0,1,1,1,0,0,1
O94788,1,0,0,0,0,0,0,1
O94804,1,0,1,0,0,0,0,1
O94808,0,0,1,0,0,0,0,0
O94811,1,0,0,0,0,0,0,0
O94813,1,0,0,0,0,0,0,1
O94819,1,0,0,0,0,0,0,0
O94822,0,0,0,1,0,0,0,0
O94826,0,0,0,1,1,0,0,0
O94830,0,0,1,0,0,0,0,0
O94832,1,1,1,1,1,1,1,1
O94842,0,0,0,1,0,0,0,0
O94851,0,0,0,1,0,0,0,0
O94854,1,0,0,0,0,0,0,0
O94855,1,0,1,1,1,0,0,0
O94874,1,0,1,0,1,0,0,0
O94875,1,0,0,0,0,0,0,0
O94885,1,0,0,0,0,0,0,0
O94886,1,0,0,0,0,0,0,0
O94887,1,1,0,1,0,1,1,1
O94888,0,1,0,0,0,1,0,0
O94889,0,0,1,0,0,0,0,0
O94898,1,0,0,0,0,0,0,0
