gene,AT1R-APEX2(AngII),AT1R-APEX2(TRV027),β2AR-APEX2(BI167107),Endosomal-APEX2,DOR-APEX2,CCDC68,CCDC120
O75489,0,0,0,0,0,1,1
O75494,0,1,0,0,0,0,1
O75503,0,0,1,0,0,0,0
O75525,0,1,0,0,0,0,1
O75530,0,0,0,1,1,0,1
O75533,1,1,1,1,1,1,1
O75534,0,0,0,1,1,1,1
O75534-3,1,1,1,0,0,0,0
O75556,0,0,0,0,0,1,0
O75563,0,0,1,0,0,0,0
O75569,0,0,0,0,0,0,1
O75581,0,1,1,0,0,0,0
O75592,0,0,0,1,1,0,0
O75608,0,0,0,0,0,0,1
O75616,0,0,0,0,0,0,1
O75629,0,0,1,0,0,0,0
O75643,1,1,1,1,1,1,1
O75663,0,0,1,0,0,1,0
O75665,0,0,0,1,1,0,0
O75674,0,1,1,0,0,0,0
O75683,1,1,0,0,0,0,1
O75688,0,0,1,0,0,0,0
O75691,0,1,0,0,0,0,1
O75694,0,0,1,1,1,1,1
O75695,0,1,1,1,1,0,1
O75718,0,0,1,0,0,1,1
O75746,0,0,0,0,0,0,1
O75781,0,1,1,1,1,0,0
O75787,0,0,1,0,0,0,1
O75792,0,0,1,0,0,1,1
O75794,0,0,1,0,0,1,1
O75817,0,0,0,0,0,0,1
O75818,0,0,0,0,0,0,1
O75821,1,1,1,1,1,1,1
O75822,1,1,1,1,1,1,1
O75828,0,0,1,0,0,0,0
O75832,0,0,1,1,1,1,1
O75844,1,1,1,0,0,0,0
O75845,0,0,1,0,0,0,0
O75874,0,0,0,0,0,1,1
O75880,0,0,0,0,0,0,1
O75882,0,0,1,0,1,0,0
O75886,1,0,1,1,1,1,1
O75896,0,0,1,0,0,0,0
O75909,0,0,0,0,0,0,1
O75934,0,0,1,0,0,0,1
O75935,0,0,0,0,0,0,1
O75937,0,1,0,0,0,0,1
O75940,0,0,0,0,0,0,1
O75947,0,0,0,0,0,0,1
O75949,0,0,1,0,0,0,0
O75954,0,0,1,0,0,0,0
O75955,0,1,1,1,1,0,1
O75962,0,0,1,1,1,0,1
O75970,1,1,1,1,1,0,0
O75973,0,0,1,0,0,0,0
O75976,0,1,1,0,0,1,1
O76003,1,1,1,1,1,1,1
O76011,0,0,0,0,0,1,0
O76013,0,0,0,0,0,1,0
O76021,1,1,1,1,1,1,1
O76024,0,0,1,0,0,0,0
O76031,0,0,0,0,0,1,1
O76041-2,1,1,1,0,0,0,0
O76061,0,0,1,0,0,0,0
O76071,0,0,1,1,1,0,0
O76074,0,0,0,1,1,0,0
O76094,1,1,0,0,0,0,1
O94762,0,0,0,0,0,0,1
O94763,0,0,1,0,0,0,1
O94776,0,1,0,0,0,1,1
O94788,0,1,1,0,0,0,0
O94804,0,1,1,0,0,1,0
O94808,0,0,0,0,0,1,0
O94811,0,0,1,0,0,0,0
O94813,0,1,1,0,0,0,0
O94819,0,0,1,0,0,0,0
O94822,0,0,0,0,0,0,1
O94826,0,0,0,0,0,0,1
O94830,0,0,0,0,0,1,0
O94832,1,1,1,1,1,1,1
O94842,0,0,0,0,0,0,1
O94851,0,0,0,0,0,0,1
O94854,0,0,1,0,0,0,0
O94855,0,0,0,0,0,1,1
O94855-2,0,0,1,0,0,0,0
O94874,0,0,1,0,0,1,0
O94875-11,0,0,1,0,0,0,0
O94885,0,0,1,0,0,0,0
O94886,0,0,1,0,0,0,0
O94887,1,1,1,1,1,0,1
O94888,0,0,0,1,1,0,0
O94889,0,0,0,0,0,1,0
O94898,0,0,1,0,0,0,0
O94901,0,0,0,1,1,0,0
O94901-9,0,0,1,0,0,0,0
O94903,0,0,1,0,0,1,1
O94905,0,0,1,1,1,1,1
O94906,0,1,0,0,0,1,1
O94910,0,1,1,0,0,0,0
O94913,0,0,0,0,0,0,1
O94915,0,0,1,0,0,0,0
O94916-5,0,0,1,0,0,0,0
O94919,0,0,1,1,1,0,0
O94923,0,0,1,0,0,0,0
O94925,0,0,0,0,0,1,1
O94927,0,0,1,0,0,0,1
O94952,0,0,0,0,0,0,1
O94955,0,0,1,0,0,0,0
O94964,0,0,0,1,1,0,1
O94966,0,0,0,1,1,1,0
O94966-5,0,0,1,0,0,0,0
O94967,0,0,0,0,0,1,0
O94973,0,0,0,0,1,1,1
O94979,0,0,0,1,1,1,1
O94979-8,0,1,1,0,0,0,0
O94985,0,0,1,0,0,0,0
O94992,0,0,1,1,1,0,1
O95057,0,0,1,0,0,1,0
O95067,0,0,1,0,0,0,0
